# timestamps [seconds],pts
31.547145,1923164
31.583431,1925542
31.626459,1928362
31.663579,1930795
31.699522,1933150
31.742506,1935967
31.779068,1938363
31.826705,1941485
31.864692,1943975
31.901975,1946418
31.937351,1948736
31.972443,1951036
32.015604,1953865
32.057080,1956583
32.104321,1959679
32.143587,1962252
32.183928,1964896
32.222499,1967424
32.262886,1970070
32.303548,1972735
32.342961,1975318
32.384032,1978010
32.422497,1980530
32.459424,1982950
32.500679,1985654
32.537985,1988099
32.578526,1990756
32.617031,1993279
32.667272,1996572
32.707741,1999224
32.740769,2001388
32.786548,2004389
32.828452,2007135
32.868918,2009787
32.906018,2012218
32.940224,2014460
32.980087,2017072
33.029224,2020292
33.065025,2022639
33.108058,2025459
33.140622,2027593
33.179900,2030167
33.217627,2032639
33.262090,2035553
33.302738,2038217
33.344437,2040950
33.385846,2043664
33.429245,2046508
33.462323,2048675
33.508749,2051718
33.547152,2054235
33.586030,2056783
33.628409,2059560
33.667863,2062146
33.702612,2064423
33.745877,2067258
33.780379,2069519
33.819753,2072100
33.859376,2074696
33.902062,2077494
33.944469,2080273
33.987554,2083096
34.025201,2085564
34.064933,2088167
34.105347,2090816
34.144595,2093388
34.189157,2096309
34.218466,2098229
34.263722,2101195
34.307317,2104052
34.349428,2106812
34.377428,2108647
34.418535,2111341
34.455448,2113760
34.503238,2116892
34.549332,2119913
34.585729,2122298
34.625398,2124898
34.668479,2127721
34.707740,2130294
34.745253,2132752
34.783777,2135277
34.826453,2138074
34.866922,2140726
34.906929,2143348
34.946479,2145940
34.978288,2148024
35.016970,2150559
35.058657,2153291
35.099970,2155999
35.140584,2158660
35.182183,2161386
35.222093,2164002
35.258835,2166410
35.305964,2169498
35.347292,2172207
35.387479,2174841
35.427278,2177449
35.466594,2180025
35.506955,2182670
35.546033,2185231
35.583025,2187656
35.625972,2190470
35.656810,2192491
35.695566,2195031
35.736349,2197704
35.782418,2200723
35.820022,2203187
35.858904,2205735
35.906418,2208849
35.947964,2211572
35.986361,2214088
36.026144,2216695
36.064347,2219199
36.107987,2222059
36.145342,2224507
36.189740,2227417
36.227946,2229921
36.258463,2231920
36.301976,2234772
36.338377,2237158
36.385327,2240235
36.423219,2242718
36.463842,2245380
36.505913,2248137
36.546604,2250804
36.584279,2253273
36.620697,2255659
36.658463,2258134
36.699343,2260814
36.746424,2263899
36.783654,2266339
36.827927,2269240
36.859668,2271320
36.897090,2273773
36.936470,2276354
36.980184,2279218
37.018492,2281729
37.058937,2284380
37.106233,2287479
37.145642,2290062
37.188041,2292840
37.226004,2295328
37.267845,2298070
37.305572,2300543
37.341757,2302914
37.381251,2305502
37.428331,2308588
37.463403,2310886
37.499300,2313239
37.540397,2315932
37.577359,2318354
37.617635,2320994
37.661845,2323891
37.705794,2326771
37.745464,2329371
37.787481,2332125
37.826618,2334690
37.868067,2337406
37.902435,2339658
37.945438,2342476
37.984841,2345059
38.027245,2347838
38.058486,2349885
38.102530,2352771
38.138937,2355157
38.177711,2357698
38.216410,2360235
38.265635,2363460
38.304342,2365997
38.340351,2368357
38.381332,2371043
38.421163,2373653
38.458976,2376131
38.500495,2378852
38.545727,2381816
38.586032,2384458
38.624784,2386997
38.667824,2389818
38.705414,2392281
38.737346,2394374
38.778279,2397057
38.817522,2399628
38.859651,2402389
38.904597,2405335
38.942344,2407809
38.988942,2410862
39.029919,2413548
39.071515,2416274
39.108325,2418686
39.145732,2421138
39.192471,2424201
39.230443,2426689
39.261201,2428705
39.311455,2431998
39.350744,2434573
39.386449,2436913
39.422277,2439261
39.463199,2441943
39.502426,2444514
39.546624,2447410
39.589433,2450216
39.627607,2452717
39.671382,2455586
39.711465,2458213
39.754122,2461008
39.792301,2463511
39.830756,2466031
39.871126,2468676
39.912083,2471360
39.950645,2473888
39.988217,2476350
40.024942,2478757
40.062880,2481243
40.101077,2483746
40.145014,2486626
40.191318,2489660
40.234428,2492485
40.271782,2494933
40.310933,2497499
40.344839,2499721
40.390716,2502728
40.424050,2504912
40.464665,2507574
40.503736,2510134
40.549500,2513134
40.605823,2516825
40.622255,2517902
40.661180,2520453
40.699581,2522969
40.745097,2525952
40.793074,2529096
40.826592,2531293
40.872665,2534312
40.911199,2536838
40.953470,2539608
40.990342,2542024
41.029836,2544612
41.071091,2547316
41.111936,2549993
41.149107,2552429
41.186492,2554879
41.232409,2557888
41.261787,2559813
41.301615,2562423
41.341468,2565035
41.386472,2567985
41.426000,2570575
41.466909,2573256
41.508800,2576001
41.542423,2578205
41.584843,2580985
41.629529,2583913
41.672835,2586751
41.707768,2589041
41.743743,2591398
41.784944,2594098
41.838543,2597611
41.863971,2599277
41.899888,2601631
41.942611,2604431
41.981409,2606974
42.030034,2610160
42.071668,2612889
42.108353,2615293
42.154248,2618301
42.192700,2620821
42.229854,2623256
42.271155,2625962
42.315566,2628873
42.350826,2631183
42.390877,2633808
42.429794,2636359
42.462988,2638534
42.502695,2641136
42.541246,2643663
42.580893,2646261
42.627609,2649322
42.669770,2652085
42.710063,2654726
42.752796,2657527
42.792349,2660119
42.829087,2662526
42.867688,2665056
42.913437,2668054
42.953663,2670690
42.992113,2673210
43.032993,2675889
43.070003,2678315
43.107613,2680780
43.142563,2683070
43.181628,2685630
43.220851,2688201
43.261647,2690874
43.309164,2693988
43.343844,2696261
43.387568,2699126
43.429140,2701851
43.473921,2704786
43.510665,2707194
43.549366,2709730
43.589012,2712328
43.632831,2715200
43.670123,2717644
43.704238,2719879
43.742420,2722382
43.781012,2724911
43.825134,2727802
43.871799,2730860
43.911037,2733432
43.949863,2735976
43.992457,2738768
44.030691,2741273
44.072440,2744009
44.113634,2746709
44.150641,2749134
44.183476,2751286
44.224763,2753992
44.269468,2756922
44.306601,2759355
44.345632,2761913
44.384172,2764439
44.421350,2766875
44.461512,2769507
44.509533,2772654
44.554329,2775590
44.588060,2777801
44.631187,2780627
44.671786,2783288
44.712872,2785980
44.749873,2788405
44.794450,2791326
44.833340,2793875
44.869053,2796215
44.911480,2798996
44.939888,2800858
44.981486,2803584
45.024435,2806398
45.062240,2808876
45.104778,2811664
45.145523,2814334
45.195948,2817639
45.231588,2819974
45.271820,2822611
45.314291,2825394
45.349839,2827724
45.389981,2830355
45.435193,2833317
45.469023,2835535
45.510007,2838220
45.556463,2841265
45.587513,2843300
45.625256,2845773
